Name,Nation
Henrikh Mkhitaryan,Armenia
Adrien Rabiot,France
Benjamin Pavard,France
Wojciech Szczesny,Poland
Ibrahima Konaté,France
Ferland Mendy,France
Olivier Giroud,France
Vitinha,Portugal
Thiago Silva,Brazil
Nathan Aké,Netherlands
Dušan Vlahovic,Serbia
Yann Sommer,Switzerland
Darwin Núñez,Uruguay
João Palhinha,Portugal
Lisandro Martínez,Argentina
Benjamin White,England
Guglielmo Vicario,Italy
Paulo Dybala,Argentina
Bremer,Brazil
Randal Kolo Muani,France
Pervis Estupiñán,Ecuador
Guido Rodríguez,Argentina
Dani Olmo,Spain
Sergio Canales,Spain
Ben Chilwell,England
Franck Kessié,Ivory Coast
Yannick Carrasco,Belgium
Marcelo Brozovic,Croatia
Jarrod Bowen,England
Mats Hummels,Germany
Thomas Müller,Germany
Rafa,Portugal
Mauro Icardi,Argentina
Dani Carvajal,Spain
Thomas Partey,Ghana
Oleksandr Zinchenko,Ukraine
Diogo Costa,Portugal
Riyad Mahrez,Algeria
Dominik Szoboszlai,Hungary
Lewis Dunk,England
Pedro Porro,Spain
Giovanni Di Lorenzo,Italy
Alessandro Bastoni,Italy
Manuel Akanji,Switzerland
Raphinha,Brazil
Andreas Christensen,Denmark
Gerard Moreno,Spain
Álex Grimaldo,Spain
Gavi,Spain
Yan Diomandé,Ivory Coast
Lucas Ocampos,Argentina
Leandro Trossard,Belgium
Danilo Pereira,Portugal
Sebastián Coates,Uruguay
Julian Brandt,Germany
Jérémy Doku,Belgium
Joelinton,Brazil
Cody Gakpo,Netherlands
John McGinn,Scotland
Mikel Merino,Spain
Teun Koopmeiners,Netherlands
André-Franck Zambo Anguissa,Cameroon
Álvaro Morata,Spain
Christian Pulisic,U.S.A.
Julián Álvarez,Argentina
Iago Aspas,Spain
Unai Simón,Spain
Mikel Oyarzábal,Spain
Ansu Fati,Spain
Rodrigo De Paul,Argentina
Moussa Diaby,France
Ricardo Horta,Portugal
Luis Alberto,Spain
João Félix,Portugal
Serhou Guirassy,Guinea
Mateo Kovacic,Croatia
David Raya,Spain
Manuel Ugarte,Uruguay
Kai Havertz,Germany
Florian Wirtz,Germany
Granit Xhaka,Switzerland
Nicolás González,Argentina
Fikayo Tomori,England
Piotr Zielinski,Poland
Ivan Provedel,Italy
Alex Meret,Italy
Marcos Llorente,Spain
Nuno Mendes,Portugal
Francesco Acerbi,Italy
Ismaël Bennacer,Algeria
Kieran Tierney,Scotland
Pablo Sarabia,Spain
Callum Wilson,England
Marc Guéhi,England
Joe Gomez,England
Wesley Fofana,France
Yan Couto,Brazil
Bryan Cristante,Italy
Domenico Berardi,Italy
Mattia Zaccagni,Italy
Stanislav Lobotka,Slovakia
Denzel Dumfries,Netherlands
Alejandro Balde,Spain
Fabián,Spain
Sergio Ramos,Spain
Keylor Navas,Costa Rica
Danilo,Brazil
Edson Álvarez,Mexico
Fredrik Aursnes,Norway
Álex Moreno,Spain
Youssef En-Nesyri,Morocco
Michael Olise,France
Miguel Gutiérrez,Spain
Jonas Hofmann,Germany
Mohammed Kudus,Ghana
Joško Gvardiol,Croatia
Jordan Pickford,England
Dominic Calvert-Lewin,England
Kostas Tsimikas,Greece
Tijjani Reijnders,Netherlands
Takehiro Tomiyasu,Japan
Martín Zubimendi,Spain
Ruben Loftus-Cheek,England
Matteo Politano,Italy
Artem Dovbyk,Ukraine
Gonçalo Ramos,Portugal
Brahim Díaz,Morocco
Ademola Lookman,Nigeria
Isco,Spain
Álex Remiro,Spain
Aymeric Laporte,Spain
Ferran Torres,Spain
Ciro Immobile,Italy
Héctor Herrera,Mexico
Yassine Bounou,Morocco
Fred,Brazil
Fabinho,Brazil
Otávio,Portugal
Talisca,Brazil
Lucas Paquetá,Brazil
Pepê,Brazil
James Ward-Prowse,England
Ivan Toney,England
Pedro Gonçalves,Portugal
Memphis Depay,Netherlands
Lucas Torreira,Uruguay
Rúben Neves,Portugal
Aleksandar Mitrovic,Serbia
Dani Ceballos,Spain
Mateus Uribe,Colombia
Luis Suárez,Uruguay
Kalidou Koulibaly,Senegal
Kurt Zouma,France
Sadio Mané,Senegal
Édouard Mendy,Senegal
Allan Saint-Maximin,France
Presnel Kimpembe,France
Konrad Laimer,Austria
Willi Orbán,Hungary
Jonathan Tah,Germany
Conor Gallagher,England
Curtis Jones,England
Noussair Mazraoui,Morocco
Kaoru Mitoma,Japan
Matheus Nunes,Portugal
Pascal Groß,Germany
Nahuel Molina,Argentina
David Neres,Brazil
Douglas Luiz,Brazil
Ederson,Brazil
Manuel Locatelli,Italy
Davide Frattesi,Italy
Takefusa Kubo,Japan
Robin Le Normand,Spain
Nico Williams,Spain
José Giménez,Uruguay
Alexandr Golovin,Russia
Edmond Tapsoba,Burkina Faso
Exequiel Palacios,Argentina
Marcel Sabitzer,Austria
Pape Matar Sarr,Senegal
Eddie Nketiah,England
Emile Smith Rowe,England
Ebere Eze,England
Jurriën Timber,Netherlands
Axel Disasi,France
Giorgi Mamardashvili,Georgia
Xavi Simons,Netherlands
Fábio Vieira,Portugal
Fabian Schär,Switzerland
Amir Rrahmani,Kosovo
Trevoh Chalobah,England
Alessio Romagnoli,Italy
Anthony Gordon,England
Carlos Soler,Spain
Dani Vivian,Spain
Oihan Sancet,Spain
Thomas Lemar,France
Loïs Openda,Belgium
Warren Zaïre-Emery,France
Martin Terrier,France
Emre Can,Germany
Nicolas Jackson,Senegal
Xaver Schlager,Austria
Youri Tielemans,Belgium
Joachim Andersen,Denmark
Reiss Nelson,England
Nick Pope,England
Ezri Konsa,England
Harvey Elliott,England
Joshua Zirkzee,Netherlands
Jan Paul van Hecke,Netherlands
Micky van de Ven,Netherlands
Boubacar Kamara,France
Benoît Badiashile,France
Charles De Ketelaere,Belgium
Albert Guðmundsson,Iceland
Gianluca Mancini,Italy
Lorenzo Pellegrini,Italy
Morten Hjulmand,Denmark
Lutsharel Geertruida,Netherlands
Lucas Vázquez,Spain
Reinildo,Mozambique
Evanilson,Brazil
Danny Welbeck,England
Jeremie Frimpong,Netherlands
Ollie Watkins,England
Destiny Udogie,Italy
Hidemasa Morita,Japan
Carlos Augusto,Brazil
Marten de Roon,Netherlands
Federico Gatti,Italy
Lewis Ferguson,Scotland
Weston McKennie,U.S.A.
Andriy Lunin,Ukraine
Breel Embolo,Switzerland
Edin Džeko,Bosnia & Herzegovina
Patrik Schick,Czechia
Victor Boniface,Nigeria
Benjamin Henrichs,Germany
Nico Schlotterbeck,Germany
Jason Steele,England
Leon Bailey,Jamaica
Richarlison,Brazil
Jordan Henderson,England
Harry Maguire,England
Joe Willock,England
Tyrone Mings,England
Rico Henry,England
Ibrahim Sangaré,Ivory Coast
Bernd Leno,Germany
Noa Lang,Netherlands
Donyell Malen,Netherlands
Riccardo Orsolini,Italy
Nicolò Zaniolo,Italy
Giacomo Raspadori,Italy
Giorgio Scalvini,Italy
Arkadiusz Milik,Poland
Juan Foyth,Argentina
Denis Suárez,Spain
Marc Cucurella,Spain
Ander Barrenetxea,Spain
Geoffrey Kondogbia,Central African Rep.
Jonathan Clauss,France
Kevin Kampl,Slovenia
Cheick Doucouré,Mali
Igor,Brazil
Matheus Cunha,Brazil
João Pedro,Brazil
Christian Nørgaard,Denmark
Bryan Mbeumo,Cameroon
Nikola Milenkovic,Serbia
Diogo Dalot,Portugal
Malick Thiaw,Germany
Alejandro Garnacho,Argentina
Rico Lewis,England
Jonathan David,Canada
Arthur,Brazil
Nemanja Matic,Serbia
David De Gea,Spain
Mario Hermoso,Spain
Alfonso Pedraza,Spain
Lazar Samardžic,Serbia
Marcão,Brazil
Eric García,Spain
Borja Iglesias,Spain
Kang-In Lee,South Korea
Ramy Bensebaïni,Algeria
Andrej Kramaric,Croatia
Julian Ryerson,Norway
Aleix García,Spain
Ellyes Skhiri,Tunisia
Matthias Ginter,Germany
Lukas Klostermann,Germany
David Raum,Germany
Tammy Abraham,England
Brennan Johnson,Wales
Wataru Endo,Japan
Emiliano Buendía,Argentina
António Silva,Portugal
Edon Zhegrova,Kosovo
Justin Bijlow,Netherlands
Gianluca Scamacca,Italy
Alessandro Buongiorno,Italy
Andrea Cambiaso,Italy
Evan N'Dicka,Ivory Coast
Khephren Thuram,France
Youssouf Fofana,France
Billy Gilmour,Scotland
Arnaut Danjuma,Netherlands
Alexander Sørloth,Norway
Marcos Alonso,Spain
Álvaro García,Spain
Carles Pérez,Spain
Igor Zubeldia,Spain
Álex Baena,Spain
Yangel Herrera,Venezuela
Amadou Haïdara,Mali
Bradley Barcola,France
Mario Götze,Germany
Robin Gosens,Germany
Eljif Elmas,North Macedonia
Vincenzo Grifo,Italy
Deniz Undav,Germany
Lucas Perri,Brazil
Mathias Jensen,Denmark
Robert Sánchez,Spain
Nordi Mukiele,France
Yeremy Pino,Spain
Tyler Adams,U.S.A.
Victor Lindelöf,Sweden
Ousmane Diomande,Ivory Coast
Leonardo Spinazzola,Italy
Nicolò Fagioli,Italy
Pierre Kalulu,France
Adam Marušic,Montenegro
Patric,Spain
Samuel Chukwueze,Nigeria
Mathías Olivera,Uruguay
João Mário,Portugal
Sead Kolašinac,Bosnia & Herzegovina
Karim Adeyemi,Germany
Umar Sadiq,Nigeria
Matteo Ruggeri,Italy
Mouctar Diakhaby,Guinea
Dávid Hancko,Slovakia
David Soria,Spain
Ayoze Pérez,Spain
Javi Galán,Spain
Brice Samba,France
Denis Zakaria,Switzerland
Facundo Medina,Argentina
Ross Barkley,England
Levi Colwill,England
Dominic Solanke,England
Jacob Ramsey,England
Ryan Gravenberch,Netherlands
Ðorde Petrovic,Serbia
Kepa Arrizabalaga,Spain
Jorge Cuenca,Spain
Sávio,Brazil
Myles Lewis-Skelly,England
Mario Pašalic,Croatia
Nikola Vlašic,Croatia
Jérémie Boga,Ivory Coast
Scott McTominay,Scotland
Cristiano Biraghi,Italy
Nicolò Rovella,Italy
Santiago Giménez,Mexico
Antony,Brazil
Héctor Bellerín,Spain
Gonçalo Guedes,Portugal
Marc Roca,Spain
Rodrigo Riquelme,Spain
Terem Moffi,Nigeria
Lucas Digne,France
Valentin Rongier,France
Philipp Lienhart,Austria
Christoph Baumgartner,Austria
Felix Nmecha,Germany
Sacha Boey,France
Robert Andrich,Germany
Walter Benítez,Argentina
Ben Davies,Wales
Harvey Barnes,England
Callum Hudson-Odoi,England
Cole Palmer,England
Tino Livramento,England
James Tarkowski,England
Dan Burn,England
Kenny Tete,Netherlands
Justin Kluivert,Netherlands
Ferdi Kadioglu,Türkiye
Daichi Kamada,Japan
Kristoffer Ajer,Norway
Aaron Hickey,Scotland
Florentino Luís,Portugal
Beto,Guinea-Bissau
Kevin Danso,Austria
Noah Okafor,Switzerland
Giovanni Simeone,Argentina
Alexis Saelemaekers,Belgium
Rasmus Højlund,Denmark
Davide Zappacosta,Italy
Alfred Duncan,Ghana
Federico Bernardeschi,Italy
Michele Di Gregorio,Italy
Andrea Colpani,Italy
Moise Kean,Italy
Ivan Ilic,Serbia
Duván Zapata,Colombia
Jesper Karlsson,Sweden
Odilon Kossounou,Ivory Coast
Giovani Lo Celso,Argentina
Luiz Felipe,Italy
Diego Llorente,Spain
Yuri,Spain
Íñigo Ruiz de Galarreta,Spain
Alejandro Catena,Spain
Borja Mayoral,Spain
Santi Comesaña,Spain
Álvaro Fidalgo,Spain
Enes Ünal,Türkiye
Matías Vecino,Uruguay
Javi Guerra,Spain
Nayef Aguerd,Morocco
Kevin Trapp,Germany
Takumi Minamino,Japan
Renato Sanches,Portugal
Séko Fofana,Ivory Coast
Ludovic Blas,France
Sebastian Szymanski,Poland
