Name,Nation,Age,Club,Position,Current Ability,League
Jarrod Bowen,England,29,West Ham United,"RW, LW, ST",155.0,Sky Bet Championship
Mats Hummels,Germany,37,Free Agent,CB,155.0,-
Thomas Müller,Germany,36,Vancouver,"AMF, RW, ST",155.0,MLS
Rafa,Portugal,33,Benfica,"AMF, RW, LW",155.0,Premier League
Mauro Icardi,Argentina,33,Free Agent,ST,155.0,-
Dani Carvajal,Spain,34,Free Agent,RB,155.0,-
Thomas Partey,Ghana,33,Free Agent,"RB, CDM",155.0,-
Oleksandr Zinchenko,Ukraine,29,Free Agent,"LB, CDM",155.0,-
Diogo Costa,Portugal,26,FC Porto,GK,155.0,Premier League
Riyad Mahrez,Algeria,35,Free Agent,"RW, LW",155.0,-
Dominik Szoboszlai,Hungary,25,Liverpool,"AMF, RW, LW",154.0,Premier Division
Lewis Dunk,England,34,Brighton,CB,154.0,Premier Division
Pedro Porro,Spain,26,Tottenham,"RB, RM",154.0,Premier Division
Giovanni Di Lorenzo,Italy,32,Napoli,RB,154.0,Serie A
Alessandro Bastoni,Italy,27,Inter,CB,154.0,Serie A
Manuel Akanji,Switzerland,30,Inter,"CB, RB",154.0,Serie A
Raphinha,Brazil,29,Barcelona,"RW, LW",154.0,First Division
Andreas Christensen,Denmark,30,Barcelona,CB,154.0,First Division
Gerard Moreno,Spain,34,Villarreal,"RW, ST",154.0,First Division
Álex Grimaldo,Spain,30,Atletico Madrid,"LB, LM",154.0,First Division
Gavi,Spain,21,Barcelona,"AMF, LW",154.0,First Division
Yan Diomandé,Ivory Coast,19,Real Madrid,"RW, LW",154.0,First Division
Lucas Ocampos,Argentina,32,Monterrey,"RW, LW, ST",154.0,First Division
Leandro Trossard,Belgium,31,Beşiktaş,"AMF, RW, LW, ST",154.0,Super League
Danilo Pereira,Portugal,34,Al-Ittihad,"CB, CDM",154.0,Saudi Pro League
Sebastián Coates,Uruguay,35,Nacional,CB,154.0,First Division
Julian Brandt,Germany,30,Ajax,"AMF, RW, LW",154.0,Eredivisie
Jérémy Doku,Belgium,24,Manchester City,"RW, LW, ST",153.0,Premier Division
Joelinton,Brazil,29,Newcastle United,"AMF, LW",153.0,Premier Division
Cody Gakpo,Netherlands,27,Liverpool,"AMF, RW, LW, ST",153.0,Premier Division
John McGinn,Scotland,31,Aston Villa,"AMF, RW, LW",153.0,Premier Division
Mikel Merino,Spain,30,Arsenal,CDM,153.0,Premier Division
Teun Koopmeiners,Netherlands,28,Juventus,"CDM, AMF",153.0,Serie A
André-Franck Zambo Anguissa,Cameroon,30,Napoli,CDM,153.0,Serie A
Álvaro Morata,Spain,33,Como,ST,153.0,Serie A
Christian Pulisic,U.S.A.,27,AC Milan,"AMF, RW, LW",153.0,Serie A
Julián Álvarez,Argentina,26,Atletico Madrid,"AMF, RW, LW, ST",153.0,First Division
Iago Aspas,Spain,38,Celta Vigo,"AMF, RW, ST",153.0,First Division
Unai Simón,Spain,29,Athletic Bilbao,GK,153.0,First Division
Mikel Oyarzábal,Spain,29,Real Sociedad,"AMF, RW, LW, ST",153.0,First Division
Ansu Fati,Spain,23,AS Monaco,"AMF, RW, LW, ST",153.0,Ligue 1 Uber Eats
Rodrigo De Paul,Argentina,32,Inter Miami,"AMF, RW",153.0,MLS
Moussa Diaby,France,27,Al-Ittihad,"AMF, RW, LW, ST",153.0,Saudi Pro League
Ricardo Horta,Portugal,31,Braga,"AMF, RW, LW, ST",153.0,Premier League
Luis Alberto,Spain,33,Al-Wakrah,AMF,153.0,Stars League
João Félix,Portugal,26,Al-Nassr,"AMF, RW, LW, ST",153.0,Saudi Pro League
Serhou Guirassy,Guinea,30,Borussia Dortmund,ST,152.0,Bundesliga
Mateo Kovacic,Croatia,32,Manchester City,CDM,152.0,Premier Division
David Raya,Spain,30,Arsenal,GK,152.0,Premier Division
Manuel Ugarte,Uruguay,25,Manchester United,CDM,152.0,Premier Division
Kai Havertz,Germany,27,Arsenal,"AMF, ST",152.0,Premier Division
Florian Wirtz,Germany,23,Liverpool,"AMF, RW, LW",152.0,Premier Division
Granit Xhaka,Switzerland,33,Sunderland,CDM,152.0,Premier Division
Nicolás González,Argentina,28,Juventus,"RW, LW, ST",152.0,Serie A
Fikayo Tomori,England,28,AC Milan,CB,152.0,Serie A
Piotr Zielinski,Poland,32,Inter,AMF,152.0,Serie A
Ivan Provedel,Italy,32,Inter,GK,152.0,Serie A
Alex Meret,Italy,29,Napoli,GK,152.0,Serie A
Marcos Llorente,Spain,31,Atletico Madrid,"RB, CDM, AMF, RW",152.0,First Division
Nuno Mendes,Portugal,24,PSG,LB,152.0,Ligue 1 Uber Eats
Francesco Acerbi,Italy,38,Free Agent,CB,152.0,-
Ismaël Bennacer,Algeria,28,Free Agent,CDM,152.0,-
Kieran Tierney,Scotland,29,Celtic,"CB, LB",152.0,William Hill SPFL
Pablo Sarabia,Spain,34,Al-Arabi,"AMF, RW, LW",152.0,Stars League
Callum Wilson,England,34,Brentford,ST,151.0,Premier Division
Marc Guéhi,England,25,Manchester City,CB,151.0,Premier Division
Joe Gomez,England,29,Liverpool,"CB, RB, LB",151.0,Premier Division
Wesley Fofana,France,25,Chelsea,CB,151.0,Premier Division
Yan Couto,Brazil,24,Como,"RB, RW",151.0,Serie A
Bryan Cristante,Italy,31,AS Roma,CDM,151.0,Serie A
Domenico Berardi,Italy,31,Sassuolo,RW,151.0,Serie A
Mattia Zaccagni,Italy,31,Lazio,"AMF, LW",151.0,Serie A
Stanislav Lobotka,Slovakia,31,Napoli,CDM,151.0,Serie A
Denzel Dumfries,Netherlands,30,Real Madrid,"RB, RM",151.0,First Division
Alejandro Balde,Spain,22,Barcelona,"LB, LW",151.0,First Division
Fabián,Spain,30,PSG,"CDM, AMF",151.0,Ligue 1 Uber Eats
Sergio Ramos,Spain,40,Free Agent,CB,151.0,-
Keylor Navas,Costa Rica,39,Pumas,GK,151.0,First Division
Danilo,Brazil,34,Flamengo,"CB, RB, LB",151.0,First Division
Edson Álvarez,Mexico,28,West Ham United,"CB, CDM",151.0,Sky Bet Championship
Fredrik Aursnes,Norway,30,Benfica,CDM,151.0,Premier League
Álex Moreno,Spain,33,Girona,"LB, LW",151.0,Second Division
Youssef En-Nesyri,Morocco,29,Al-Ittihad,ST,151.0,Saudi Pro League
Michael Olise,France,24,Bayern Munich,"AMF, RW",150.0,Bundesliga
Miguel Gutiérrez,Spain,24,Bayer Leverkusen,LB,150.0,Bundesliga
Jonas Hofmann,Germany,33,Bayer Leverkusen,"AMF, RW",150.0,Bundesliga
Mohammed Kudus,Ghana,25,Tottenham,"AMF, RW, ST",150.0,Premier Division
Joko Gvardiol,Croatia,24,Manchester City,"CB, LB",150.0,Premier Division
Jordan Pickford,England,32,Everton,GK,150.0,Premier Division
Dominic Calvert-Lewin,England,29,Leeds United,ST,150.0,Premier Division
Kostas Tsimikas,Greece,30,Liverpool,LB,150.0,Premier Division
Tijjani Reijnders,Netherlands,27,Manchester City,"CDM, AMF",150.0,Premier Division
Takehiro Tomiyasu,Japan,27,Crystal Palace,"CB, RB, LB",150.0,Premier Division
Martín Zubimendi,Spain,27,Arsenal,CDM,150.0,Premier Division
Ruben Loftus-Cheek,England,30,AC Milan,"CDM, AMF",150.0,Serie A
Matteo Politano,Italy,32,Napoli,"RW, LW",150.0,Serie A
Artem Dovbyk,Ukraine,29,Bologna,ST,150.0,Serie A
Gonçalo Ramos,Portugal,25,AC Milan,ST,150.0,Serie A
Brahim Díaz,Morocco,26,Real Madrid,"AMF, RW",150.0,First Division
Ademola Lookman,Nigeria,28,Atletico Madrid,"AMF, RW, LW, ST",150.0,First Division
Isco,Spain,34,Real Betis,"AMF, RW, LW",150.0,First Division
Álex Remiro,Spain,31,Real Sociedad,GK,150.0,First Division
Aymeric Laporte,Spain,32,Athletic Bilbao,CB,150.0,First Division
Ferran Torres,Spain,26,Barcelona,"RW, LW, ST",150.0,First Division
Ciro Immobile,Italy,36,Paris FC,ST,150.0,Ligue 1 Uber Eats
Héctor Herrera,Mexico,36,Houston,CDM,150.0,MLS
Yassine Bounou,Morocco,35,Al-Hilal,GK,150.0,Saudi Pro League
Fred,Brazil,33,Fenerbahçe,CDM,150.0,Super League
Fabinho,Brazil,32,Free Agent,"CB, CDM",150.0,-
Otávio,Portugal,31,Al-Qadsiah,"AMF, RW, LW",150.0,First Division
Talisca,Brazil,32,Fenerbahçe,"AMF, RW, ST",150.0,Super League
Lucas Paquetá,Brazil,28,Flamengo,"CDM, AMF, LW",150.0,First Division
Pepê,Brazil,29,FC Porto,"RB, RW, LW",150.0,Premier League
James Ward-Prowse,England,31,West Ham United,"CDM, AMF",150.0,Sky Bet Championship
Ivan Toney,England,30,Al-Ahli,ST,150.0,Saudi Pro League
Pedro Gonçalves,Portugal,28,Sporting CP,"AMF, RW, LW",150.0,Premier League
Memphis Depay,Netherlands,32,Free Agent,"AMF, LW, ST",150.0,-
Lucas Torreira,Uruguay,30,Galatasaray,CDM,150.0,Super League
Rúben Neves,Portugal,29,Al-Hilal,CDM,150.0,Saudi Pro League
Aleksandar Mitrovic,Serbia,31,Al-Rayyan,ST,150.0,Stars League
Dani Ceballos,Spain,29,Free Agent,CM,150.0,-
Mateus Uribe,Colombia,35,Atlético Nacional,CDM,150.0,First Division
Luis Suárez,Uruguay,39,Inter Miami,ST,150.0,MLS
Kalidou Koulibaly,Senegal,35,Al-Hilal,CB,150.0,Saudi Pro League
Kurt Zouma,France,31,Free Agent,"CB, RB",150.0,-
Sadio Mané,Senegal,34,Al-Nassr,"AMF, RW, LW, ST",150.0,Saudi Pro League
Édouard Mendy,Senegal,34,Al-Ahli,GK,150.0,Saudi Pro League
Allan Saint-Maximin,France,29,Charlotte FC,"RW, LW, ST",150.0,MLS
Presnel Kimpembe,France,30,Al-Kharaitiyat,CB,150.0,Q-League
Konrad Laimer,Austria,29,Bayern Munich,"RB, CDM",149.0,Bundesliga
Willi Orbán,Hungary,33,RB Leipzig,CB,149.0,Bundesliga
Jonathan Tah,Germany,30,Bayern Munich,"CB, RB",149.0,Bundesliga
Conor Gallagher,England,26,Tottenham,"CDM, AMF",149.0,Premier Division
Curtis Jones,England,25,Liverpool,"AMF, LW",149.0,Premier Division
Noussair Mazraoui,Morocco,28,Manchester United,"RB, LB, CDM, CM, RM",149.0,Premier Division
Kaoru Mitoma,Japan,29,Brighton,LW,149.0,Premier Division
Matheus Nunes,Portugal,27,Manchester City,"AMF, RW",149.0,Premier Division
Pascal Groß,Germany,35,Brighton,"CDM, AMF",149.0,Premier Division
Nahuel Molina,Argentina,28,AS Roma,"RB, RM",149.0,Serie A
David Neres,Brazil,29,Napoli,"RW, LW",149.0,Serie A
Douglas Luiz,Brazil,28,Juventus,CDM,149.0,Serie A
Ederson,Brazil,27,Atalanta,"CDM, AMF",149.0,Serie A
Manuel Locatelli,Italy,28,Juventus,CDM,149.0,Serie A
Davide Frattesi,Italy,26,Inter,CM,149.0,Serie A
Takefusa Kubo,Japan,25,Real Sociedad,"AMF, RW, ST",149.0,First Division
Robin Le Normand,Spain,29,Atletico Madrid,CB,149.0,First Division
Nico Williams,Spain,24,Athletic Bilbao,"RW, LW",149.0,First Division
José Giménez,Uruguay,31,Atletico Madrid,CB,149.0,First Division
Alexandr Golovin,Russia,30,AS Monaco,"AMF, LW",149.0,Ligue 1 Uber Eats
Edmond Tapsoba,Burkina Faso,27,Bayer Leverkusen,CB,148.0,Bundesliga
Exequiel Palacios,Argentina,27,Bayer Leverkusen,CDM,148.0,Bundesliga
Marcel Sabitzer,Austria,32,Borussia Dortmund,"CDM, AMF",148.0,Bundesliga
Pape Matar Sarr,Senegal,23,Tottenham,CDM,148.0,Premier Division
Eddie Nketiah,England,27,Crystal Palace,"RW, LW, ST",148.0,Premier Division
Emile Smith Rowe,England,25,Fulham,"AMF, RW, LW",148.0,Premier Division
Ebere Eze,England,28,Arsenal,"AMF, LW",148.0,Premier Division
Jurriën Timber,Netherlands,25,Arsenal,"CB, RB, LB",148.0,Premier Division
Axel Disasi,France,28,Chelsea,CB,148.0,Premier Division
Giorgi Mamardashvili,Georgia,25,Liverpool,GK,148.0,Premier Division
Xavi Simons,Netherlands,23,Tottenham,AMF,148.0,Premier Division
Fábio Vieira,Portugal,26,Arsenal,"AMF, RW, LW",148.0,Premier Division
Fabian Schär,Switzerland,34,Newcastle United,CB,148.0,Premier Division
Amir Rrahmani,Kosovo,32,Napoli,CB,148.0,Serie A
Trevoh Chalobah,England,27,Como,"CB, RB, CDM",148.0,Serie A
Alessio Romagnoli,Italy,31,Lazio,CB,148.0,Serie A
Anthony Gordon,England,25,Barcelona,"AMF, RW, LW, ST",148.0,First Division
Carlos Soler,Spain,29,Real Sociedad,"AMF, RW",148.0,First Division
Dani Vivian,Spain,27,Athletic Bilbao,"CB, CDM",148.0,First Division
Oihan Sancet,Spain,26,Athletic Bilbao,AMF,148.0,First Division
Thomas Lemar,France,30,Atletico Madrid,"LB, AMF, LW",148.0,First Division
Loïs Openda,Belgium,26,Lyon,ST,148.0,Ligue 1 Uber Eats
Warren Zaïre-Emery,France,20,PSG,CDM,148.0,Ligue 1 Uber Eats
Martin Terrier,France,29,Bayer Leverkusen,"AMF, RW, LW, ST",147.0,Bundesliga
Emre Can,Germany,32,Borussia Dortmund,"CB, CDM",147.0,Bundesliga
Nicolas Jackson,Senegal,25,Chelsea,"AMF, RW, LW, ST",147.0,Premier Division
Xaver Schlager,Austria,28,Nottingham Forest,CDM,147.0,Premier Division
Youri Tielemans,Belgium,29,Manchester United,"CDM, AMF",147.0,Premier Division
Joachim Andersen,Denmark,30,Fulham,CB,147.0,Premier Division
Reiss Nelson,England,26,Arsenal,"RW, LW",147.0,Premier Division
Nick Pope,England,34,Newcastle United,GK,147.0,Premier Division
Ezri Konsa,England,28,Aston Villa,CB,147.0,Premier Division
Harvey Elliott,England,23,Liverpool,"AMF, RW",147.0,Premier Division
Joshua Zirkzee,Netherlands,25,Manchester United,ST,147.0,Premier Division
Jan Paul van Hecke,Netherlands,26,Tottenham,CB,147.0,Premier Division
Micky van de Ven,Netherlands,25,Tottenham,"CB, LB",147.0,Premier Division
Boubacar Kamara,France,26,Aston Villa,CDM,147.0,Premier Division
Benoît Badiashile,France,25,Chelsea,CB,147.0,Premier Division
Charles De Ketelaere,Belgium,25,Atalanta,"AMF, ST",147.0,Serie A
Albert Guðmundsson,Iceland,29,Fiorentina,"AMF, RW, LW, ST",147.0,Serie A
Gianluca Mancini,Italy,30,AS Roma,CB,147.0,Serie A
Lorenzo Pellegrini,Italy,30,AS Roma,"CDM, AMF",147.0,Serie A
Morten Hjulmand,Denmark,27,Atletico Madrid,CDM,147.0,First Division
Lutsharel Geertruida,Netherlands,25,RB Leipzig,"CB, RB, CDM",146.0,Bundesliga
Lucas Vázquez,Spain,35,Bayer Leverkusen,"RB, RW",146.0,Bundesliga
Reinildo,Mozambique,32,Sunderland,"CB, LB",146.0,Premier Division
Evanilson,Brazil,26,Bournemouth,ST,146.0,Premier Division
Danny Welbeck,England,35,Chelsea,"RW, LW, ST",146.0,Premier Division
Jeremie Frimpong,Netherlands,25,Liverpool,"RB, RM",146.0,Premier Division
Ollie Watkins,England,30,Aston Villa,"RW, LW, ST",146.0,Premier Division
Destiny Udogie,Italy,23,Tottenham,LB,146.0,Premier Division
Hidemasa Morita,Japan,31,Hull City,CDM,146.0,Premier Division
Carlos Augusto,Brazil,27,Inter,"LB, LM",146.0,Serie A
Marten de Roon,Netherlands,35,Atalanta,CDM,146.0,Serie A
Federico Gatti,Italy,28,Juventus,CB,146.0,Serie A
Lewis Ferguson,Scotland,26,Bologna,"CDM, AMF",146.0,Serie A
Weston McKennie,U.S.A.,27,Juventus,"RB, CM, RM",146.0,Serie A
Andriy Lunin,Ukraine,27,Real Madrid,GK,146.0,First Division
Breel Embolo,Switzerland,29,Rennes,"AMF, RW, ST",146.0,Ligue 1 Uber Eats
Edin Deko,Bosnia & Herzegovina,40,Schalke 04,ST,145.0,Bundesliga
Patrik Schick,Czechia,30,Bayer Leverkusen,ST,145,Bundesliga
Victor Boniface,Nigeria,25,Bayer Leverkusen,ST,145.0,Bundesliga
Benjamin Henrichs,Germany,29,RB Leipzig,"RB, LB",145.0,Bundesliga
Nico Schlotterbeck,Germany,26,Borussia Dortmund,"CB, LB",145,Bundesliga
Jason Steele,England,35,Brighton,GK,145,Premier Division
Leon Bailey,Jamaica,28,Aston Villa,"RW, LW",145.0,Premier Division
Richarlison,Brazil,29,Tottenham,"RW, LW, ST",145.0,Premier Division
Jordan Henderson,England,36,Chelsea,CDM,145.0,Premier Division
Harry Maguire,England,33,Manchester United,CB,145.0,Premier Division
Joe Willock,England,26,Newcastle United,CM,145,Premier Division
Tyrone Mings,England,33,Aston Villa,"CB, LB",145.0,Premier Division
Rico Henry,England,29,Brentford,LB,145.0,Premier Division
Ibrahim Sangaré,Ivory Coast,28,Nottingham Forest,CDM,145,Premier Division
Bernd Leno,Germany,34,Fulham,GK,145.0,Premier Division
Noa Lang,Netherlands,27,Napoli,"RW, LW",145.0,Serie A
