Xavi Simons,Netherlands,AMF
Fábio Vieira,Portugal,AMF
Fabian Schär,Switzerland,CB
Amir Rrahmani,Kosovo,CB
Trevoh Chalobah,England,CB
Alessio Romagnoli,Italy,CB
Anthony Gordon,England,LW
Carlos Soler,Spain,CM
Dani Vivian,Spain,CB
Oihan Sancet,Spain,AMF
Thomas Lemar,France,CM
Loïs Openda,Belgium,ST
Warren Zaïre-Emery,France,CM
Martin Terrier,France,LW
Emre Can,Germany,CDM
Nicolas Jackson,Senegal,ST
Xaver Schlager,Austria,CM
Youri Tielemans,Belgium,CM
Joachim Andersen,Denmark,CB
Reiss Nelson,England,RW
Nick Pope,England,GK
Ezri Konsa,England,CB
Harvey Elliott,England,RW
Joshua Zirkzee,Netherlands,ST
Jan Paul van Hecke,Netherlands,CB
Micky van de Ven,Netherlands,CB
Boubacar Kamara,France,CDM
Benoît Badiashile,France,CB
Charles De Ketelaere,Belgium,ST
Albert Guðmundsson,Iceland,ST
Gianluca Mancini,Italy,CB
Lorenzo Pellegrini,Italy,AMF
Morten Hjulmand,Denmark,CDM
Lutsharel Geertruida,Netherlands,RB
Lucas Vázquez,Spain,RB
Reinildo,Mozambique,LB
Evanilson,Brazil,ST
Danny Welbeck,England,ST
Jeremie Frimpong,Netherlands,RB
Ollie Watkins,England,ST
Destiny Udogie,Italy,LB
Hidemasa Morita,Japan,CM
Carlos Augusto,Brazil,LB
Marten de Roon,Netherlands,CDM
Federico Gatti,Italy,CB
Lewis Ferguson,Scotland,CM
Weston McKennie,U.S.A.,CM
Andriy Lunin,Ukraine,GK
Breel Embolo,Switzerland,ST
Edin Džeko,Bosnia & Herzegovina,ST
Patrik Schick,Czechia,ST
Victor Boniface,Nigeria,ST
Benjamin Henrichs,Germany,RB
Nico Schlotterbeck,Germany,CB
Jason Steele,England,GK
Leon Bailey,Jamaica,RW
Richarlison,Brazil,ST
Jordan Henderson,England,CM
Harry Maguire,England,CB
Joe Willock,England,CM
Tyrone Mings,England,CB
Rico Henry,England,LB
Ibrahim Sangaré,Ivory Coast,CDM
Bernd Leno,Germany,GK
Noa Lang,Netherlands,LW
Donyell Malen,Netherlands,RW
Riccardo Orsolini,Italy,RW
Nicolò Zaniolo,Italy,RW
Giacomo Raspadori,Italy,ST
Giorgio Scalvini,Italy,CB
Arkadiusz Milik,Poland,ST
Juan Foyth,Argentina,RB
Denis Suárez,Spain,CM
Marc Cucurella,Spain,LB
Ander Barrenetxea,Spain,LW
Geoffrey Kondogbia,Central African Rep.,CDM
Jonathan Clauss,France,RB
Kevin Kampl,Slovenia,CM
Cheick Doucouré,Mali,CDM
Igor,Brazil,CB
Matheus Cunha,Brazil,ST
João Pedro,Brazil,ST
Christian Nørgaard,Denmark,CDM
Bryan Mbeumo,Cameroon,RW
Nikola Milenkovic,Serbia,CB
Diogo Dalot,Portugal,RB
Malick Thiaw,Germany,CB
Alejandro Garnacho,Argentina,LW
Rico Lewis,England,RB
Jonathan David,Canada,ST
Arthur,Brazil,CM
Nemanja Matic,Serbia,CDM
David De Gea,Spain,GK
Mario Hermoso,Spain,CB
Alfonso Pedraza,Spain,LB
Lazar Samardžic,Serbia,AMF
Marcão,Brazil,CB
Eric García,Spain,CB
Borja Iglesias,Spain,ST
Kang-In Lee,South Korea,RW
Ramy Bensebaïni,Algeria,LB
Andrej Kramaric,Croatia,ST
Julian Ryerson,Norway,RB
Aleix García,Spain,CM
Ellyes Skhiri,Tunisia,CDM
Matthias Ginter,Germany,CB
Lukas Klostermann,Germany,CB
David Raum,Germany,LB
Tammy Abraham,England,ST
Brennan Johnson,Wales,RW
Wataru Endo,Japan,CDM
Emiliano Buendía,Argentina,AMF
António Silva,Portugal,CB
Edon Zhegrova,Kosovo,RW
Justin Bijlow,Netherlands,GK
Gianluca Scamacca,Italy,ST
Alessandro Buongiorno,Italy,CB
Andrea Cambiaso,Italy,RB
Evan N'Dicka,Ivory Coast,CB
Khephren Thuram,France,CM
Youssouf Fofana,France,CM
Billy Gilmour,Scotland,CM
Arnaut Danjuma,Netherlands,LW
Alexander Sørloth,Norway,ST
Marcos Alonso,Spain,LB
Álvaro García,Spain,LW
Carles Pérez,Spain,RW
Igor Zubeldia,Spain,CB
Álex Baena,Spain,AMF
Yangel Herrera,Venezuela,CM
Amadou Haïdara,Mali,CM
Bradley Barcola,France,LW
Mario Götze,Germany,AMF
Robin Gosens,Germany,LB
Eljif Elmas,North Macedonia,AMF
Vincenzo Grifo,Italy,LW
Deniz Undav,Germany,ST
Lucas Perri,Brazil,GK
Mathias Jensen,Denmark,CM
Robert Sánchez,Spain,GK
Nordi Mukiele,France,RB
Yeremy Pino,Spain,RW
Tyler Adams,U.S.A.,CDM
Victor Lindelöf,Sweden,CB
Ousmane Diomande,Ivory Coast,CB
Leonardo Spinazzola,Italy,LB
Nicolò Fagioli,Italy,CM
Pierre Kalulu,France,CB
Adam Marušic,Montenegro,RB
Patric,Spain,CB
Samuel Chukwueze,Nigeria,RW
Mathías Olivera,Uruguay,LB
João Mário,Portugal,CM
Sead Kolašinac,Bosnia & Herzegovina,CB
Karim Adeyemi,Germany,LW
Umar Sadiq,Nigeria,ST
Matteo Ruggeri,Italy,LB
Mouctar Diakhaby,Guinea,CB
Dávid Hancko,Slovakia,CB
David Soria,Spain,GK
Ayoze Pérez,Spain,LW
Javi Galán,Spain,LB
Brice Samba,France,GK
Denis Zakaria,Switzerland,CDM
Facundo Medina,Argentina,CB
Ross Barkley,England,CM
Levi Colwill,England,CB
Dominic Solanke,England,ST
Jacob Ramsey,England,CM
Ryan Gravenberch,Netherlands,CM
Ðorde Petrovic,Serbia,GK
Kepa Arrizabalaga,Spain,GK
Jorge Cuenca,Spain,CB
Sávio,Brazil,LW
Myles Lewis-Skelly,England,CM
Mario Pašalic,Croatia,CM
Nikola Vlašic,Croatia,AMF
Jérémie Boga,Ivory Coast,LW
Scott McTominay,Scotland,CM
Cristiano Biraghi,Italy,LB
Nicolò Rovella,Italy,CDM
Santiago Giménez,Mexico,ST
Antony,Brazil,RW
Héctor Bellerín,Spain,RB
Gonçalo Guedes,Portugal,ST
Marc Roca,Spain,CM
Rodrigo Riquelme,Spain,LW
Terem Moffi,Nigeria,ST
Lucas Digne,France,LB
Valentin Rongier,France,CM
Philipp Lienhart,Austria,CB
Christoph Baumgartner,Austria,AMF
Felix Nmecha,Germany,CM
Sacha Boey,France,RB
Robert Andrich,Germany,CDM
Walter Benítez,Argentina,GK
Ben Davies,Wales,CB
Harvey Barnes,England,LW
Callum Hudson-Odoi,England,LW
Cole Palmer,England,AMF
Tino Livramento,England,RB
James Tarkowski,England,CB
Dan Burn,England,CB
Kenny Tete,Netherlands,RB
Justin Kluivert,Netherlands,LW
Ferdi Kadioglu,Türkiye,LB
Daichi Kamada,Japan,AMF
Kristoffer Ajer,Norway,CB
Aaron Hickey,Scotland,RB
Florentino Luís,Portugal,CDM
Beto,Guinea-Bissau,ST
Kevin Danso,Austria,CB
Noah Okafor,Switzerland,ST
Giovanni Simeone,Argentina,ST
Alexis Saelemaekers,Belgium,RW
Rasmus Højlund,Denmark,ST
Davide Zappacosta,Italy,RB
Alfred Duncan,Ghana,CM
Federico Bernardeschi,Italy,RW
Michele Di Gregorio,Italy,GK
Andrea Colpani,Italy,RW
Moise Kean,Italy,ST
Ivan Ilic,Serbia,CM
Duván Zapata,Colombia,ST
Jesper Karlsson,Sweden,LW
Odilon Kossounou,Ivory Coast,CB
Giovani Lo Celso,Argentina,AMF
Luiz Felipe,Italy,CB
Diego Llorente,Spain,CB
Yuri,Spain,LB
Íñigo Ruiz de Galarreta,Spain,CM
Alejandro Catena,Spain,CB
Borja Mayoral,Spain,ST
Santi Comesaña,Spain,CM
Álvaro Fidalgo,Spain,CM
Enes Ünal,Türkiye,ST
Matías Vecino,Uruguay,CM
Javi Guerra,Spain,CM
Nayef Aguerd,Morocco,CB
Kevin Trapp,Germany,GK
Takumi Minamino,Japan,AMF
Renato Sanches,Portugal,CM
Séko Fofana,Ivory Coast,CM
Ludovic Blas,France,RW
Sebastian Szymanski,Poland,AMF
