Name,Original Current Ability
Thomas Partey,155.0
Oleksandr Zinchenko,155.0
Diogo Costa,155.0
Riyad Mahrez,155.0
Dominik Szoboszlai,154.0
Lewis Dunk,154.0
Pedro Porro,154.0
Giovanni Di Lorenzo,154.0
Alessandro Bastoni,154.0
Manuel Akanji,154.0
Raphinha,154.0
Andreas Christensen,154.0
Gerard Moreno,154.0
Álex Grimaldo,154.0
Gavi,154.0
Yan Diomandé,154.0
Lucas Ocampos,154.0
Leandro Trossard,154.0
Danilo Pereira,154.0
Sebastián Coates,154.0
Julian Brandt,154.0
Jérémy Doku,153.0
Joelinton,153.0
Cody Gakpo,153.0
John McGinn,153.0
Mikel Merino,153.0
Teun Koopmeiners,153.0
André-Franck Zambo Anguissa,153.0
Álvaro Morata,153.0
Christian Pulisic,153.0
Julián Álvarez,153.0
Iago Aspas,153.0
Unai Simón,153.0
Mikel Oyarzábal,153.0
Ansu Fati,153.0
Rodrigo De Paul,153.0
Moussa Diaby,153.0
Ricardo Horta,153.0
Luis Alberto,153.0
João Félix,153.0
Serhou Guirassy,152.0
Mateo Kovacic,152.0
David Raya,152.0
Manuel Ugarte,152.0
Kai Havertz,152.0
Florian Wirtz,152.0
Granit Xhaka,152.0
Nicolás González,152.0
Fikayo Tomori,152.0
Piotr Zielinski,152.0
Ivan Provedel,152.0
Alex Meret,152.0
Marcos Llorente,152.0
Nuno Mendes,152.0
Francesco Acerbi,152.0
Ismaël Bennacer,152.0
Kieran Tierney,152.0
Pablo Sarabia,152.0
Callum Wilson,151.0
Marc Guéhi,151.0
Joe Gomez,151.0
Wesley Fofana,151.0
Yan Couto,151.0
Bryan Cristante,151.0
Domenico Berardi,151.0
Mattia Zaccagni,151.0
Stanislav Lobotka,151.0
Denzel Dumfries,151.0
Alejandro Balde,151.0
Fabián,151.0
Sergio Ramos,151.0
Keylor Navas,151.0
Danilo,151.0
Edson Álvarez,151.0
Fredrik Aursnes,151.0
Álex Moreno,151.0
Youssef En-Nesyri,151.0
Michael Olise,150.0
Miguel Gutiérrez,150.0
Jonas Hofmann,150.0
Mohammed Kudus,150.0
Joško Gvardiol,150.0
Jordan Pickford,150.0
Dominic Calvert-Lewin,150.0
Kostas Tsimikas,150.0
Tijjani Reijnders,150.0
Takehiro Tomiyasu,150.0
Martín Zubimendi,150.0
Ruben Loftus-Cheek,150.0
Matteo Politano,150.0
Artem Dovbyk,150.0
Gonçalo Ramos,150.0
Brahim Díaz,150.0
Ademola Lookman,150.0
Isco,150.0
Álex Remiro,150.0
Aymeric Laporte,150.0
Ferran Torres,150.0
Ciro Immobile,150.0
Héctor Herrera,150.0
Yassine Bounou,150.0
Fred,150.0
Fabinho,150.0
Otávio,150.0
Talisca,150.0
Lucas Paquetá,150.0
Pepê,150.0
James Ward-Prowse,150.0
Ivan Toney,150.0
Pedro Gonçalves,150.0
Memphis Depay,150.0
Lucas Torreira,150.0
Rúben Neves,150.0
Aleksandar Mitrovic,150.0
Dani Ceballos,150.0
Mateus Uribe,150.0
Luis Suárez,150.0
Kalidou Koulibaly,150.0
Kurt Zouma,150.0
Sadio Mané,150.0
Édouard Mendy,150.0
Allan Saint-Maximin,150.0
Presnel Kimpembe,150.0
Konrad Laimer,149.0
Willi Orbán,149.0
Jonathan Tah,149.0
Conor Gallagher,149.0
Curtis Jones,149.0
Noussair Mazraoui,149.0
Kaoru Mitoma,149.0
Matheus Nunes,149.0
Pascal Groß,149.0
Nahuel Molina,149.0
David Neres,149.0
Douglas Luiz,149.0
Ederson,149.0
Manuel Locatelli,149.0
Davide Frattesi,149.0
Takefusa Kubo,149.0
Robin Le Normand,149.0
Nico Williams,149.0
José Giménez,149.0
Alexandr Golovin,149.0
Edmond Tapsoba,148.0
Exequiel Palacios,148.0
Marcel Sabitzer,148.0
Pape Matar Sarr,148.0
Eddie Nketiah,148.0
Emile Smith Rowe,148.0
Ebere Eze,148.0
Jurriën Timber,148.0
Axel Disasi,148.0
Giorgi Mamardashvili,148.0
Xavi Simons,148.0
Fábio Vieira,148.0
Fabian Schär,148.0
Amir Rrahmani,148.0
Trevoh Chalobah,148.0
Alessio Romagnoli,148.0
Anthony Gordon,148.0
Carlos Soler,148.0
Dani Vivian,148.0
Oihan Sancet,148.0
Thomas Lemar,148.0
Loïs Openda,148.0
Warren Zaïre-Emery,148.0
Martin Terrier,147.0
Emre Can,147.0
Nicolas Jackson,147.0
Xaver Schlager,147.0
Youri Tielemans,147.0
Joachim Andersen,147.0
Reiss Nelson,147.0
Nick Pope,147.0
Ezri Konsa,147.0
Harvey Elliott,147.0
Joshua Zirkzee,147.0
Jan Paul van Hecke,147.0
Micky van de Ven,147.0
Boubacar Kamara,147.0
Benoît Badiashile,147.0
Charles De Ketelaere,147.0
Albert Guðmundsson,147.0
Gianluca Mancini,147.0
Lorenzo Pellegrini,147.0
Morten Hjulmand,147.0
Lutsharel Geertruida,146.0
Lucas Vázquez,146.0
Reinildo,146.0
Evanilson,146.0
Danny Welbeck,146.0
Jeremie Frimpong,146.0
Ollie Watkins,146.0
Destiny Udogie,146.0
Hidemasa Morita,146.0
Carlos Augusto,146.0
Marten de Roon,146.0
Federico Gatti,146.0
Lewis Ferguson,146.0
Weston McKennie,146.0
Andriy Lunin,146.0
Breel Embolo,146.0
Edin Džeko,145.0
Patrik Schick,145
Victor Boniface,145.0
Benjamin Henrichs,145.0
Nico Schlotterbeck,145
Jason Steele,145
Leon Bailey,145.0
Richarlison,145.0
Jordan Henderson,145.0
Harry Maguire,145.0
Joe Willock,145
Tyrone Mings,145.0
Rico Henry,145.0
Ibrahim Sangaré,145
Bernd Leno,145.0
Noa Lang,145.0
Donyell Malen,145.0
Riccardo Orsolini,145.0
Nicolò Zaniolo,145
Giacomo Raspadori,145.0
Giorgio Scalvini,145
Arkadiusz Milik,145.0
Juan Foyth,145.0
Denis Suárez,145
Marc Cucurella,145.0
Ander Barrenetxea,145.0
Geoffrey Kondogbia,145.0
Jonathan Clauss,145.0
Kevin Kampl,144
Cheick Doucouré,144
Igor,144
Matheus Cunha,144
João Pedro,144
Christian Nørgaard,144
Bryan Mbeumo,144
Nikola Milenkovic,144
Diogo Dalot,144
Malick Thiaw,144
Alejandro Garnacho,144
Rico Lewis,144
Jonathan David,144
Arthur,144
Nemanja Matic,144
David De Gea,144
Mario Hermoso,144
Alfonso Pedraza,144
Lazar Samardžic,144
Marcão,144
Eric García,144
Borja Iglesias,144
Kang-In Lee,144
Ramy Bensebaïni,143
Andrej Kramaric,143
Julian Ryerson,143
Aleix García,143
Ellyes Skhiri,143
Matthias Ginter,143
Lukas Klostermann,143
David Raum,143
Tammy Abraham,143
Brennan Johnson,143
Wataru Endo,143
Emiliano Buendía,143
António Silva,143
Edon Zhegrova,143
Justin Bijlow,143
Gianluca Scamacca,143
Alessandro Buongiorno,143
Andrea Cambiaso,143
Evan N'Dicka,143
Khephren Thuram,143
Youssouf Fofana,143
Billy Gilmour,143
Arnaut Danjuma,143
Alexander Sørloth,143
Marcos Alonso,143
Álvaro García,143
Carles Pérez,143
Igor Zubeldia,143
Álex Baena,143
Yangel Herrera,143
Amadou Haïdara,143
Bradley Barcola,143
Mario Götze,142
Robin Gosens,142
Eljif Elmas,142
Vincenzo Grifo,142
Deniz Undav,142
Lucas Perri,142
Mathias Jensen,142
Robert Sánchez,142
Nordi Mukiele,142
Yeremy Pino,142
Tyler Adams,142
Victor Lindelöf,142
Ousmane Diomande,142
Leonardo Spinazzola,142
Nicolò Fagioli,142
Pierre Kalulu,142
Adam Marušic,142
Patric,142
Samuel Chukwueze,142
Mathías Olivera,142
João Mário,142
Sead Kolašinac,142
Karim Adeyemi,142
Umar Sadiq,142
Matteo Ruggeri,142
Mouctar Diakhaby,142
Dávid Hancko,142
David Soria,142
Ayoze Pérez,142
Javi Galán,142
Brice Samba,142
Denis Zakaria,142
Facundo Medina,141
Ross Barkley,141
Levi Colwill,141
Dominic Solanke,141
Jacob Ramsey,141
Ryan Gravenberch,141
Ðorde Petrovic,141
Kepa Arrizabalaga,141
Jorge Cuenca,141
Sávio,141
Myles Lewis-Skelly,141
Mario Pašalic,141
Nikola Vlašic,141
Jérémie Boga,141
Scott McTominay,141
Cristiano Biraghi,141
Nicolò Rovella,141
Santiago Giménez,141
Antony,141
Héctor Bellerín,141
Gonçalo Guedes,141
Marc Roca,141
Rodrigo Riquelme,141
Terem Moffi,141
Lucas Digne,141
Valentin Rongier,141
Philipp Lienhart,140
Christoph Baumgartner,140
Felix Nmecha,140
Sacha Boey,140
Robert Andrich,140
Walter Benítez,140
Ben Davies,140
Harvey Barnes,140
Callum Hudson-Odoi,140
Cole Palmer,140
Tino Livramento,140
James Tarkowski,140
Dan Burn,140
Kenny Tete,140
Justin Kluivert,140
Ferdi Kadioglu,140
Daichi Kamada,140
Kristoffer Ajer,140
Aaron Hickey,140
Florentino Luís,140
Beto,140
Kevin Danso,140
Noah Okafor,140
Giovanni Simeone,140
Alexis Saelemaekers,140
Rasmus Højlund,140
Davide Zappacosta,140
Alfred Duncan,140
Federico Bernardeschi,140
Michele Di Gregorio,140
Andrea Colpani,140
Moise Kean,140
Ivan Ilic,140
Duván Zapata,140
Jesper Karlsson,140
Odilon Kossounou,140
Giovani Lo Celso,140
Luiz Felipe,140
Diego Llorente,140
Yuri,140
Íñigo Ruiz de Galarreta,140
Alejandro Catena,140
Borja Mayoral,140
Santi Comesaña,140
Álvaro Fidalgo,140
Enes Ünal,140
Matías Vecino,140
Javi Guerra,140
Nayef Aguerd,140
Kevin Trapp,140
Takumi Minamino,140
Renato Sanches,140
Séko Fofana,140
Ludovic Blas,140
Sebastian Szymanski,140
